precinctCode,precinct,election,percentVoting
464,ST PAULS 4,vhgen14,45.59
465,ST PAULS 5,vhgen14,43.3
466,ST PAULS 6,vhgen14,45.95
501,ST ANDREWS 1,vhgen14,43.47
502,ST ANDREWS 2,vhgen14,29.99
503,ST ANDREWS 3,vhgen14,46.49
504,ST ANDREWS 4,vhgen14,47.14
505,ST ANDREWS 5,vhgen14,48.46
506,ST ANDREWS 6,vhgen14,50.37
507,ST ANDREWS 7,vhgen14,45.08
508,ST ANDREWS 8,vhgen14,41.61
509,ST ANDREWS 9,vhgen14,40.51
510,ST ANDREWS 10,vhgen14,46.9
511,ST ANDREWS 11,vhgen14,54.64
512,ST ANDREWS 12,vhgen14,52.05
513,ST ANDREWS 13,vhgen14,42.75
514,ST ANDREWS 14,vhgen14,44.95
515,ST ANDREWS 15,vhgen14,32.41
516,ST ANDREWS 16,vhgen14,38.15
517,ST ANDREWS 17,vhgen14,45.43
518,ST ANDREWS 18,vhgen14,36.79
519,ST ANDREWS 19,vhgen14,54.46
520,ST ANDREWS 20,vhgen14,31.5
521,ST ANDREWS 21,vhgen14,38.22
522,ST ANDREWS 22,vhgen14,40.3
523,ST ANDREWS 23,vhgen14,22.29
524,ST ANDREWS 24,vhgen14,35.88
525,ST ANDREWS 25,vhgen14,29.43
526,ST ANDREWS 26,vhgen14,45.34
527,ST ANDREWS 27,vhgen14,33.58
528,ST ANDREWS 28,vhgen14,36.69
529,ST ANDREWS 29,vhgen14,32.11
530,ST ANDREWS 30,vhgen14,32.93
531,ST ANDREWS 31,vhgen14,42.44
532,ST ANDREWS 32,vhgen14,44.76
533,ST ANDREWS 33,vhgen14,53.03
534,ST ANDREWS 34,vhgen14,43.18
535,ST ANDREWS 35,vhgen14,47.49
536,ST ANDREWS 36,vhgen14,44.34
537,ST ANDREWS 37,vhgen14,35.99
601,N CHARLESTON 1,vhgen14,39.39
602,N CHARLESTON 2,vhgen14,29.44
603,N CHARLESTON 3,vhgen14,45.3
604,N CHARLESTON 4,vhgen14,40.87
605,N CHARLESTON 5,vhgen14,36.01
606,N CHARLESTON 6,vhgen14,36.58
607,N CHARLESTON 7,vhgen14,23.76
608,N CHARLESTON 8,vhgen14,31.16
609,N CHARLESTON 9,vhgen14,33.58
610,N CHARLESTON 10,vhgen14,31.3
611,N CHARLESTON 11,vhgen14,48.12
612,N CHARLESTON 12,vhgen14,45.76
613,N CHARLESTON 13,vhgen14,32.7
614,N CHARLESTON 14,vhgen14,38.7
615,N CHARLESTON 15,vhgen14,28.96
616,N CHARLESTON 16,vhgen14,38.2
617,N CHARLESTON 17,vhgen14,30.46
618,N CHARLESTON 18,vhgen14,34.77
619,N CHARLESTON 19,vhgen14,35.81
620,N CHARLESTON 20,vhgen14,54.37
621,N CHARLESTON 21,vhgen14,34.86
622,N CHARLESTON 22,vhgen14,28.53
623,N CHARLESTON 23,vhgen14,39
624,N CHARLESTON 24,vhgen14,33.35
625,N CHARLESTON 25,vhgen14,38.8
626,N CHARLESTON 26,vhgen14,43.44
627,N CHARLESTON 27,vhgen14,26.96
628,N CHARLESTON 28,vhgen14,23.63
629,N CHARLESTON 29,vhgen14,29.09
630,N CHARLESTON 30,vhgen14,42.81
442,JOHNS ISLAND 2,vhgen14,34.16
 &nbsp; ,Totals,vhgen14,39.49
4,AWENDAW,vhgen12,74.15
8,CHRIST CHURCH,vhgen12,74.32
10,ISLE OF PALMS 1A,vhgen12,68.17
11,ISLE OF PALMS 1B,vhgen12,70.6
12,ISLE OF PALMS 1C,vhgen12,75.7
